intent,response
greeting,"Wilujeng rawuh di Maranatha! Siap Level Up bareng Wiratha Fest 2025? Tanya apa saja soal dresscode, alas duduk, quest log, reels, dll!"
jadwal_umum,"Wiratha Fest 2025 berlangsung tanggal 2–4 September 2025
Jam: 06.30–17.30 WIB
Lokasi: Universitas Kristen Maranatha, Bandung"
dresscode_day1,"DAY 1 – PIXEL ORIGIN
Pagi (Parade + Enlightenment):
WAJIB kostum karakter game + atribut (topi Mario, pedang Kirito, dll). Dilarang atribut berbahaya!
Siang (Activity Life):
Kaos putih polos + celana panjang hitam (bukan jeans juga boleh). Sepatu tertutup."
dresscode_day2,"DAY 2 – PIXEL GRID
Kaos hitam polos + outer kemeja flanel kotak-kotak + celana panjang hitam (bukan jogger). Sepatu tertutup."
dresscode_day3,"DAY 3 – PIXEL POP
Atasan colorful (bebas warna cerah sesuai lampiran) + celana jeans panjang biru. Sepatu tertutup."
dresscode_dont,"Dilarang keras:
• Crop top, jeans sobek, transparan
• Sandal terbuka
• Aksesoris berlebihan
Langsung dapat sanksi!"
alas_duduk,"Ukuran: 55 × 55 cm
Bahan: kardus tebal + karton warna fakultas + plastik transparan
Depan: Tulis 'Wiratha Fest 2025: Level Up – Take It to the Next Level' + avatar game + nama panggilan + ornamen koin/pedang/kunci
Belakang: Nama lengkap, NRP, Fam Cell"
id_card,"Ukuran: 8 × 5 cm + 7 × 8 cm (1.5 cm)
Warna sesuai fakultas
Wajib tukar 12 kartu/hari (2 kartu per fakultas lain)
Tempel di Quest Log"
name_tag,"Ukuran: A5 landscape
Karton warna fakultas + laminating + tali rafia warna fakultas
WAJIB dipakai terus selama di kampus!"
quest_log,"Buku Campus 28×20.5 cm, 40 lembar
Cover: tulis tangan judul + nama + fam cell + avatar
Halaman 1: foto 4x6 + data diri
Halaman 4-5: tabel sanksi (download bit.ly/TabelSanksiWF25)"
character_reveal,"Video Reels max 30 detik
Upload paling lambat: 30 Agustus 2025
Wajib mention @wiratha_fest + hashtag resmi
Isi: perkenalan diri + mimpi + jargon 'Take It To The Next Level'"
air_minum,"WAJIB bawa air minum 1.5 liter setiap hari (tumbler/botol plastik)
Label: Nama - NRP - Fam Cell (kertas 7×29 cm + lakban bening)"
sarapan,"Bekal Sarapan Wajib:
Day 1: Sushi Roll
Day 2: Tamagotchi Rice
Day 3: Winner Winner Rice"
performance,"Tema: Games
• Flashmob: min 15 orang, max 10 menit
• Drama Musikal: min 15 orang
• Perkusi Teater: max 10 orang, alat buatan sendiri"
sanksi,"Lihat tabel sanksi lengkap: https://bit.ly/TabelSanksiWF25
Contoh: telat = push-up, lupa name tag = penalty board"
kontak,"WA Panitia: +62 822-8686-8112 (08.00–17.00)
IG: @wiratha_fest
Email: wirathafest@maranatha.edu"
fallback,"Maaf, saya tidak mengerti maksud pertanyaanmu. Coba tanyakan dengan kata kunci yang lebih jelas seputar Wiratha Fest."
sarapan_day1,"Bekal sarapan wajib Hari Pertama (Day 1) adalah: Sushi Roll. Jangan lupa dibawa ya!"
sarapan_day2,"Bekal sarapan wajib Hari Kedua (Day 2) adalah: Tamagotchi Rice. Pastikan isinya sesuai ketentuan."
sarapan_day3,"Bekal sarapan wajib Hari Ketiga (Day 3) adalah: Winner Winner Rice. Siapkan yang terbaik!"
